"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\Education\travel log\backend\server.js", "JavaScript", 16, 0, 3, 19
"e:\Education\travel log\travel\src\App.js", "JavaScript", 16, 0, 1, 17
"e:\Education\travel log\travel\src\component\SignIn.js", "JavaScript", 2, 4, 0, 6
"e:\Education\travel log\travel\src\component\SignUp.js", "JavaScript", -3, 0, 1, -2
"e:\Education\travel log\travel\src\component\forgot.js", "JavaScript", 114, 3, 12, 129
"Total", "-", 145, 7, 17, 169
